Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
2,13118,19.15708923,-5.41274929,-0.340875983,1.75999999,19.91000175,-0.980999949,-15.77740003,Target 2-2,20,95.00%
2,13120,19.14985657,-5.410705566,-0.131286189,1.799999952,19.89999962,-0.377999966,-15.77739957,Target 2-2,20,95.00%
2,13122,19.15688705,-5.422596455,0.131352171,0.959999979,19.90999985,0.377999969,-15.80482878,Target 2-2,20,95.00%
2,13125,19.20259666,-5.435534954,0.341732025,1.039999962,19.95999908,0.981000046,-15.80482829,Target 2-2,20,95.00%
2,13128,19.14998245,-5.420641899,0.550361991,1.120000005,19.90999985,1.583999854,-15.80482844,Target 2-2,20,95.00%
2,13131,19.13373947,-5.416044712,0.759231985,1,19.89999962,2.186500042,-15.80483008,Target 2-2,20,95.00%
2,13134,19.11984444,-5.421989918,1.021541476,1.439999938,19.89999962,2.942500183,-15.83223263,Target 2-2,20,95.00%
2,13137,19.11805725,-5.42148304,1.231084108,1.319999933,19.91000175,3.544999595,-15.83223244,Target 2-2,20,95.00%
2,13147,17.07524872,-4.896242142,-1.287941098,3.119999886,17.80999947,-4.146999387,-15.99997942,Target 2-2,20,95.00%
2,13148,18.88143539,-5.414157391,-1.216862679,2.279999971,19.68000221,-3.544999697,-15.99998013,Target 2-2,20,95.00%
2,13150,19.12308884,-5.483450413,-1.022568226,1.839999914,19.92000008,-2.942500295,-15.99998042,Target 2-2,20,95.00%
2,13151,19.11255646,-5.490334034,-0.759231985,1.879999995,19.90000153,-2.186499888,-16.02741045,Target 2-2,20,95.00%
2,13153,19.147995,-5.500514507,-0.550914884,1.839999914,19.9299984,-1.583999988,-16.02741124,Target 2-3,20,65.00%
2,13154,19.13328743,-5.49628973,-0.340875983,1.799999952,19.90999985,-0.980999991,-16.0274117,Target 2-2,20,95.00%
2,13156,19.13567734,-5.496975899,-0.131352171,1.839999914,19.90999985,-0.377999961,-16.02741069,Target 2-2,20,95.00%
2,13158,19.12343216,-5.503370762,0.131286189,1.839999914,19.89999962,0.377999963,-16.05484172,Target 2-3,20,65.00%
