Fr,Idx,X,Y,`,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
3,28706,34.94373703,-2.670370102,-0.407996684,5,35.04799652,-0.667060408,-4.387036575,Target 3-2 ,35,65.00%
3,28709,47.87651825,3.373044014,0.278948635,12,47.9960022,0.333007543,4.043351777,Target 4-1,48,3.00%
3,28710,47.95318604,-1.314326286,-0.27880916,83,47.97200394,-0.333007543,-1.570786263,Target 4-3,48,95.00%
3,28714,34.96368027,-2.671894073,0.40822953,7,35.06800079,0.667060256,-4.387036575,Target 3-2 ,35,65.00%
3,28718,47.94669342,-1.314148307,0.837226868,71,47.97200775,1.000202884,-1.570786263,Target 4-3,48,95.00%
3,28733,47.92884064,3.217040062,-0.838483453,11,48.04400253,-1.000203036,3.851546101,Target 4-1,48,3.00%
3,28737,47.98009872,0.871002793,0,40,47.98800278,0,1.0402284,Target 4-2,48,65.00%
3,28738,34.93867874,-2.786550999,-0.408043265,5,35.05199814,-0.667060256,-4.579366202,Target 3-2 ,35,65.00%
3,28741,47.88743973,3.214261293,0.278948635,12,47.9960022,0.333007543,3.851546101,Target 4-1,48,3.00%
3,28742,47.95656204,-1.473583221,-0.278855652,83,47.98000717,-0.333007543,-1.761107815,Target 4-3,48,95.00%
3,28746,34.94266891,-2.786869049,0.408089846,7,35.05599976,0.667060256,-4.579364988,Target 3-2 ,35,65.00%
3,28750,47.96205521,-1.473752141,0.837575853,71,47.99199677,1.000203036,-1.761108118,Target 4-3,48,95.00%
3,28765,47.79661942,3.032234669,-0.835970283,11,47.89999771,-1.000203036,3.639748917,Target 4-1,48,3.00%
3,28769,48.00296783,0.695430815,0,40,48.00800323,0,0.830116148,Target 4-2,48,65.00%
3,28770,34.92823029,-2.914589167,-0.408043265,5,35.05199814,-0.667060256,-4.792179112,Target 3-2 ,35,65.00%
3,28773,47.95883179,-1.64961791,-0.278902143,83,47.98800659,-0.333007543,-1.971554139,Target 4-3,48,95.00%
3,28777,34.94018936,-2.915587187,0.408182979,7,35.06399918,0.667060408,-4.792179112,Target 3-2 ,35,65.00%
3,28781,47.96832657,-1.649944425,0.837785304,86,48.00400925,1.000202884,-1.971554139,Target 4-3,48,95.00%
3,28799,48.00909805,0.527908921,0,40,48.01200104,0,0.6300508,Target 4-2,48,65.00%
3,28800,34.92183304,-3.0368402,-0.408089846,5,35.05600357,-0.667060256,-4.995100086,Target 3-2 ,35,65.00%
3,28804,47.98875427,-1.818378568,-0.279111356,83,48.02400208,-0.333007467,-2.172077868,Target 4-3,48,95.00%
3,28808,34.92980194,-3.037533283,0.408182979,10,35.06400299,0.667060256,-4.995100693,Target 3-2 ,35,65.00%
3,28812,47.98225403,-1.818132401,0.838134348,86,48.02400208,1.000203036,-2.172077868,Target 4-3,48,95.00%
3,28830,48.03465271,0.36050275,0,40,48.03600311,0,0.430016112,Target 4-2,48,65.00%
3,28835,48.0021019,-1.986706734,-0.279227614,83,48.04401016,-0.333007467,-2.372707845,Target 4-3,48,95.00%
3,28843,47.99559784,-1.986437559,0.838483453,86,48.04400635,1.000203036,-2.372707845,Target 4-3,48,95.00%
3,28865,47.99924469,-2.146054983,-0.27925086,33,48.04800415,-0.333007467,-2.563413102,Target 4-3,48,95.00%
3,28872,47.98874664,-2.145585775,0.838483453,43,48.04400635,1.000203036,-2.563413102,Target 4-3,48,95.00%
3,28926,47.8607254,2.198454618,0.278460443,36,47.91200256,0.333007543,2.633700909,Target 4-2,48,65.00%
3,28949,47.88559723,2.03211832,-0.836598516,35,47.93599701,-1.000203036,2.432918543,Target 4-2,48,65.00%
3,28954,34.93511581,-3.653335333,-0.408928007,75,35.12799835,-0.667060408,-6.013636108,Target 3-3,35,95.00%
3,28957,47.88409042,2.032054424,0.278553426,36,47.92799759,0.333007543,2.432918543,Target 4-2,48,65.00%
3,28962,34.90328979,-3.65000701,0.408555478,77,35.09599686,0.667060256,-6.013636108,Target 3-3,35,95.00%
3,28980,47.89974594,1.881985784,-0.836738229,35,47.94400787,-1.000203036,2.252315895,Target 4-2,48,65.00%
3,28984,47.89779282,-0.459799796,0,40,47.89999771,0,-0.550033616,Target 4-3,48,95.00%
3,28985,34.87574387,-3.757927418,-0.408369213,84,35.07999802,-0.667060256,-6.197733081,Target 3-3,35,95.00%
3,28988,47.89823532,1.881926537,0.278599918,36,47.93600082,0.333007543,2.252315895,Target 4-2,48,65.00%
3,28993,34.88767624,-3.759212971,0.408508927,100,35.09199905,0.667060256,-6.197733081,Target 3-3,35,95.00%
3,29012,47.92230225,1.706981301,-0.837017417,35,47.95999908,-1.000203036,2.041725681,Target 4-2,48,65.00%
3,29016,47.91978836,-0.635669351,0,80,47.9240036,0,-0.760089102,Target 4-3,48,95.00%
3,29017,34.86174011,-3.885727882,-0.408369213,86,35.08000183,-0.667060256,-6.412830005,Target 3-3,35,95.00%
3,29020,47.89681625,1.706073403,0.278553426,36,47.9280014,0.333007543,2.041725681,Target 4-2,48,65.00%
3,29025,34.86571503,-3.886171103,0.408415794,100,35.08399963,0.667060256,-6.412830005,Target 3-3,35,95.00%
3,29044,47.92797089,1.53969121,-0.837017417,35,47.95999908,-1.000203036,1.841266611,Target 4-2,48,65.00%
3,29048,47.91727829,-0.802936614,0,66,47.92400742,0,-0.960179494,Target 4-3,48,95.00%
3,29049,34.84398651,-4.006937504,-0.408322632,86,35.07600021,-0.667060256,-6.618014959,Target 3-3,35,95.00%
3,29052,47.92247009,1.539514422,0.278669655,36,47.94800186,0.333007467,1.841266308,Target 4-2,48,65.00%
3,29053,34.96797943,-2.298051596,-0.203672722,8,35.04400253,-0.333007467,-3.770836336,Target 3-2 ,35,65.00%
3,29057,34.85591125,-4.008308411,0.408462346,100,35.08800507,0.667060256,-6.618013745,Target 3-3,35,95.00%
3,29061,34.9592514,-2.297478199,0.611532331,14,35.04000092,1.000203036,-3.770837551,Target 3-2 ,35,65.00%
3,29076,47.93681335,1.380862832,-0.837087214,35,47.9640007,-1.000203036,1.650912882,Target 4-2,48,65.00%
3,29080,47.93034744,-0.962152779,0,67,47.94000244,0,-1.150308586,Target 4-3,48,95.00%
3,29081,34.8344841,-4.122932434,-0.408369213,88,35.08000183,-0.667060256,-6.813245444,Target 3-3,35,95.00%
3,29084,47.94330597,1.381049871,0.278762639,36,47.9640007,0.333007467,1.650912882,Target 4-2,48,65.00%
3,29085,34.97214127,-2.414823771,-0.203742474,16,35.05600739,-0.333007467,-3.962569157,Target 3-2 ,35,65.00%
3,29089,34.8344841,-4.122932434,0.408369213,100,35.08000183,0.667060256,-6.813245444,Target 3-3,35,95.00%
3,29093,34.96341324,-2.414221287,0.611741781,14,35.05200577,1.000203036,-3.962569157,Target 3-2 ,35,65.00%
3,29107,47.95754623,1.205558181,-0.837366462,35,47.98000336,-1.000203036,1.4406065,Target 4-2,48,65.00%
3,29111,47.93050003,-1.137915134,0,67,47.94400406,0,-1.360511452,Target 4-3,48,95.00%
3,29112,34.81516266,-4.250094414,-0.408322632,90,35.07600021,-0.667060256,-7.029390271,Target 3-3,35,95.00%
3,29115,47.96004105,1.205620885,0.278832376,36,47.97600174,0.333007467,1.4406065,Target 4-2,48,65.00%
3,29116,34.96704102,-2.543277025,-0.203765705,16,35.06000137,-0.333007467,-4.17468994,Target 3-2 ,35,65.00%
3,29120,34.80722046,-4.249125481,0.40822953,100,35.06799698,0.667060408,-7.029391485,Target 3-3,35,95.00%
3,29124,34.95034027,-2.542062283,0.611671925,14,35.04800034,1.000203036,-4.17468994,Target 3-2 ,35,65.00%
3,29138,47.96128082,1.046518922,-0.837366462,35,47.98000336,-1.000203036,1.250396964,Target 4-2,48,65.00%
3,29142,47.93845367,-1.297176361,0,67,47.95600128,0,-1.550756809,Target 4-3,48,95.00%
3,29143,34.79294205,-4.364527225,-0.40822953,91,35.06799698,-0.667060256,-7.225286168,Target 3-3,35,95.00%
3,29146,47.97577286,1.046835184,0.278902143,36,47.98800659,0.333007543,1.250396964,Target 4-2,48,65.00%
3,29147,34.96240616,-2.65952158,-0.203788966,16,35.06400299,-0.333007543,-4.366802823,Target 3-2 ,35,65.00%
3,29151,34.79294205,-4.364527225,0.40822953,100,35.06799698,0.667060256,-7.225286168,Target 3-3,35,95.00%
3,29155,34.94570923,-2.658251286,0.611741781,14,35.05200577,1.000202884,-4.366802823,Target 3-2 ,35,65.00%
3,29170,47.9886322,0.879536033,-0.837785304,35,48.00400543,-1.000203036,1.050235083,Target 4-2,48,65.00%
3,29174,47.94963074,-1.464993596,0,81,47.97200394,0,-1.75108899,Target 4-3,48,95.00%
3,29175,34.77749634,-4.48595047,-0.40822953,41,35.06800079,-0.667060256,-7.431848088,Target 3-3,35,95.00%
3,29178,47.99512863,0.879655182,0.278995126,36,48.00400162,0.333007543,1.050235083,Target 4-2,48,65.00%
3,29179,34.96088409,-2.782181263,-0.203835458,16,35.07200241,-0.333007467,-4.569237487,Target 3-2 ,35,65.00%
3,29183,34.7616272,-4.483903885,0.408043265,42,35.05199814,0.667060408,-7.431848088,Target 3-3,35,95.00%
3,29187,34.94020081,-2.780535221,0.611811578,14,35.05599976,1.000203036,-4.569237487,Target 3-2 ,35,65.00%
3,29201,47.99940491,0.712137938,-0.837924898,35,48.01200104,-1.000203036,0.850125111,Target 4-2,48,65.00%
3,29205,47.96421051,-1.633040547,0,67,47.99200058,0,-1.951507079,Target 4-3,48,95.00%
3,29209,48.00590515,0.712234437,0.279041618,36,48.01200104,0.333007543,0.850125111,Target 4-2,48,65.00%
3,29210,34.95095825,-2.904200792,-0.203835458,16,35.07200241,-0.333007467,-4.771899825,Target 3-2 ,35,65.00%
3,29213,48.00718307,-1.634503722,1.117747426,48,48.04800415,1.333481206,-1.951507686,Target 4-3,48,95.00%
3,29218,34.93028259,-2.902482748,0.611811578,14,35.05600357,1.000203036,-4.771899825,Target 3-2 ,35,65.00%
3,29233,48.01769257,0.536384821,-0.838204205,35,48.02800369,-1.000203036,0.640052929,Target 4-2,48,65.00%
3,29237,47.9778862,-1.809581161,0,67,48.01200104,0,-2.162049329,Target 4-3,48,95.00%
3,29241,48.02019501,0.536412776,0.279111356,36,48.02400208,0.333007467,0.640052929,Target 4-2,48,65.00%
3,29242,34.94406509,-3.032628536,-0.203858688,16,35.07600403,-0.333007467,-4.984948907,Target 3-2 ,35,65.00%
3,29245,48.12874222,-1.81527102,1.120725036,15,48.17599869,1.333481206,-2.162049329,Target 4-3,48,95.00%
3,29250,34.91941071,-3.030488968,0.611811578,14,35.05600357,1.000203036,-4.984948907,Target 3-2 ,35,65.00%
3,29269,47.99560547,-1.969655991,0,67,48.03600311,0,-2.352639839,Target 4-3,48,95.00%
3,29276,48.13444901,-1.975353837,1.121004224,14,48.18800735,1.333481206,-2.352639839,Target 4-3,48,95.00%
3,29297,48.00841904,-2.138069391,0,67,48.05600357,0,-2.553373027,Target 4-3,48,95.00%
3,29304,48.05135345,-2.139981508,1.119236231,48,48.11200333,1.333481206,-2.553373027,Target 4-3,48,95.00%
3,29389,32.58604431,-5.015471935,-0.383829802,4,32.97199631,-0.667060408,-8.888967253,Target 3-3,35,95.00%
3,29392,47.88229752,-0.29249984,0.278297693,36,47.88399887,0.333007543,-0.350008566,Target 4-3,48,95.00%
3,29393,34.92225647,-3.639667988,-0.204067945,65,35.11200333,-0.333007543,-5.993197754,Target 3-3,35,95.00%
3,29397,32.57814026,-5.014255047,0.38373667,6,32.96399689,0.667060256,-8.888967253,Target 3-3,35,95.00%
3,29401,34.91354752,-3.63876009,0.612719119,72,35.10800171,1.000203036,-5.99319654,Target 3-3,35,95.00%
3,29416,47.90649796,-0.459883183,-0.83624953,82,47.91600037,-1.000203036,-0.550033464,Target 4-3,48,95.00%
3,29423,47.90898514,-0.459907055,0.278460443,98,47.91200256,0.333007543,-0.550033464,Target 4-3,48,95.00%
3,29424,34.89741135,-3.760261297,-0.203998193,81,35.1000061,-0.333007467,-6.197731867,Target 3-3,35,95.00%
3,29431,34.88075256,-3.758466482,0.612370014,100,35.08800507,1.000202884,-6.197731867,Target 3-3,35,95.00%
3,29445,47.90470886,-0.61874491,-0.83624953,58,47.91600037,-1.000203036,-0.740082719,Target 4-3,48,95.00%
3,29450,32.08123016,-5.161554813,-0.378288656,89,32.49599838,-0.667060256,-9.298700891,Target 3-3,35,95.00%
3,29453,47.91519547,-0.618880332,0.278506935,61,47.92000198,0.333007543,-0.740082567,Target 4-3,48,95.00%
3,29454,34.88077164,-3.875522852,-0.203974932,81,35.09600449,-0.333007467,-6.39232851,Target 3-3,35,95.00%
3,29457,32.06543732,-5.159013271,0.378102422,92,32.48000336,0.667060256,-9.298699677,Target 3-3,35,95.00%
3,29461,34.87207413,-3.874556541,0.612439871,100,35.09200668,1.000203036,-6.39232851,Target 3-3,35,95.00%
3,29475,47.91825104,-0.786221921,-0.836528778,58,47.93199921,-1.000203036,-0.940168709,Target 4-3,48,95.00%
